"id","Plu","Type","Category","Commodity","Variety","Size","Measures_na","Measures_row","Restrictions","Botanical","Aka","Status","Link","Notes","Updated_by","Updated_at","Created_at","Deleted_at","Language"
"1","3000","Global","Fruits","MANZANAS","Alkmene","Todos los tamaños","","","","Malus domestica","","Approved","","","Netsetters Admin","2024-02-02 19:10:33","0000-00-00 00:00:00","","SP"
"2","3001","Global","Fruits","MANZANAS","Aurora/Southern Rose","Pequeño","100 size and smaller","Average Fruit Weight = less than 205g","","Malus domestica","","Approved","","","Wendy Logan","2023-12-19 19:10:25","0000-00-00 00:00:00","","SP"
"3","3002","Global","Fruits","MANZANAS","CantaRojo","Todos los tamaños","","","","Malus domestica","","Approved","","","Wendy Logan","2024-02-08 16:08:54","0000-00-00 00:00:00","","SP"
"4","3003","Global","Fruits","MANZANAS","D'Estivale","Todos los tamaños","","","","Malus domestica","","Approved","","","Wendy Logan","2023-12-19 19:10:25","0000-00-00 00:00:00","","SP"
"5","3004","Global","Fruits","MANZANAS","Discovery","Todos los tamaños","","","","Malus domestica","","Approved","","","Wendy Logan","2023-12-19 19:10:25","0000-00-00 00:00:00","","SP"
"6","3005","Global","Fruits","MANZANAS","Dorado Delicious Blush","Todos los tamaños","","","","Malus domestica","","Approved","","","Wendy Logan","2023-12-19 19:10:25","0000-00-00 00:00:00","","SP"
"7","3006","Global","Fruits","MANZANAS","Ingrid Marie","Todos los tamaños","","","","Malus domestica","","Approved","","","Wendy Logan","2023-12-19 19:10:25","0000-00-00 00:00:00","","SP"
"8","3007","Global","Fruits","MANZANAS","Lochbuie","Todos los tamaños","","","","Malus domestica","","Approved","","","Wendy Logan","2023-12-19 19:10:25","0000-00-00 00:00:00","","SP"
"9","3008","Global","Fruits","MANZANAS","Rubinette","Todos los tamaños","","","","Malus domestica","","Approved","","","Wendy Logan","2023-12-19 19:10:25","0000-00-00 00:00:00","","SP"
"10","3009","Global","Fruits","MANZANAS","Russet","Todos los tamaños","","","","Malus domestica","","Approved","","","Wendy Logan","2023-12-19 19:10:25","0000-00-00 00:00:00","","SP"
"11","3010","Global","Fruits","MANZANAS","Cripps Rojo","Pequeño","100 size and smaller","Average Fruit Weight = less than 205g","","Malus domestica","","Approved","","","Wendy Logan","2023-12-19 19:10:25","0000-00-00 00:00:00","","SP"
"12","3011","Global","Fruits","MANZANAS","Worcester","Todos los tamaños","","","","Malus domestica","","Approved","","","Wendy Logan","2023-12-19 19:10:25","0000-00-00 00:00:00","","SP"
"13","3012","Global","Fruits","PERA","Abate Fetel","Todos los tamaños","","","","Pyrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:10:25","0000-00-00 00:00:00","","SP"
"14","3013","Global","Fruits","PERA","Beurre Hardy","Todos los tamaños","","","","Pyrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:10:25","0000-00-00 00:00:00","","SP"
